sensor,psi,ks_stat,ks_pvalue,severity
sensor_254,0.5356569952774553,0.2136530487390388,6.555262658554435e-10,significant
sensor_147,0.5338563385572315,0.26143701991706886,1.1517332856281998e-14,significant
sensor_82,0.5337657037141937,0.2603901842158929,1.4960602163037896e-14,significant
sensor_560,0.5336946358387736,0.11989327713955544,0.0020442885105863705,significant
sensor_282,0.5329099937136057,0.2710454761742913,9.637653642355373e-16,significant
sensor_526,0.5308044417575826,0.21047175582897149,1.255248048113462e-09,significant
sensor_205,0.5235666205377049,0.2508293113996328,1.588928242440589e-13,significant
sensor_44,0.5207747846736676,0.19989803548365168,1.0180879427203656e-08,significant
sensor_17,0.5192548844538407,0.30398681258921895,9.722939719874158e-20,significant
sensor_340,0.509156620495463,0.22424716198762829,7.000923803381765e-11,significant
sensor_577,0.5076990986466147,0.11994765821494122,0.0020219931982710638,significant
sensor_487,0.5052829123723132,0.24956835021412554,2.5246992032859633e-13,significant
sensor_35,0.5042108239904384,0.24513629257018565,7.280409256161577e-13,significant
sensor_195,0.5018641792091321,0.17919244103052145,4.782451867515596e-07,significant
sensor_170,0.4925484135965344,0.1721534905852763,1.4008312301746031e-06,significant
sensor_295,0.48648114776318085,0.30718849840255585,3.71803042899422e-20,significant
sensor_562,0.48058448178208457,0.1598055876554959,1.0567225008290399e-05,significant
sensor_60,0.4682243348945185,0.2113996329277411,1.0385497636933367e-09,significant
sensor_33,0.45643571620160184,0.14670994493916123,6.814722623588737e-05,significant
sensor_454,0.45237814423464595,0.20374889538440633,5.3910857029497394e-09,significant
sensor_182,0.4507372162936958,0.21331656583508946,8.041062704096223e-10,significant
sensor_153,0.4431429275803598,0.2328461695330024,1.074719118777323e-11,significant
sensor_45,0.44280773415927216,0.24455509482700022,7.280554372182883e-13,significant
sensor_160,0.4423900399342775,0.3018625518319625,1.8164610409523912e-19,significant
sensor_288,0.4305050794175872,0.23603765889470452,5.228131235539221e-12,significant
sensor_524,0.4295776906238742,0.16963836584868464,2.332906898951668e-06,significant
sensor_586,0.4286299580201187,0.18171096458432467,2.774193762092929e-07,significant
sensor_252,0.42756581124591536,0.1600537013119434,1.04650310840315e-05,significant
sensor_121,0.42734335071094975,0.15910543130990407,1.175125283738544e-05,significant
sensor_426,0.4254817382320413,0.2371014886819386,4.102489668074894e-12,significant
sensor_41,0.421768522955353,0.1379783835225341,0.0002213013224926521,significant
sensor_204,0.41923749746803407,0.19882061042757115,1.2474938688101332e-08,significant
sensor_335,0.41607630916348737,0.21950241316022023,2.169994627036008e-10,significant
sensor_274,0.4153586848637366,0.24867106247026036,2.6787753410568537e-13,significant
sensor_123,0.4090844540521606,0.20912582421317377,1.8237004729833775e-09,significant
sensor_416,0.4054716481858024,0.21225273604785527,9.981905768813239e-10,significant
sensor_187,0.4004169762724075,0.1339745768472571,0.0003756907258960523,significant
sensor_431,0.39537440910372634,0.27631704166949894,2.4042252608605055e-16,significant
sensor_278,0.3884815379346603,0.21555298756032892,4.789480215568407e-10,significant
sensor_310,0.3875042805988351,0.25594793012031813,5.3796197428525474e-14,significant
sensor_70,0.38737324099602266,0.15740602270409898,1.4575254908502286e-05,significant
sensor_554,0.3866783639555303,0.26649445992794507,3.825916856830779e-15,significant
sensor_448,0.38044624811369815,0.1667561688532391,3.342541376965826e-06,significant
sensor_177,0.3757202818455788,0.1667561688532391,3.342541376965826e-06,significant
sensor_312,0.3631114204037041,0.18798178233974583,9.213003845010068e-08,significant
sensor_77,0.3604454089769659,0.18356671878186387,2.2010397300302116e-07,significant
sensor_425,0.35793803219434156,0.1955271565495208,2.2842217467698688e-08,significant
sensor_476,0.35792472638841516,0.1732886955339541,1.1744439736388876e-06,significant
sensor_38,0.34924878349272886,0.19176806471347968,5.015355226551052e-08,significant
sensor_134,0.3323209102650872,0.1314424580246074,0.0005321038488547779,significant
